"issue","subject","company","response","product_area","status","request_type","justification"
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
","Claude access lost","Claude","I cannot restore your access directly. When an IT admin removes your seat from a Claude team workspace, only organization Admins or Owners can restore your access.

To regain access, you need to:
1. Contact an Admin or Owner in your organization
2. Ask them to navigate to Organization settings > Organization
3. Have them reassign you to an available seat by changing your role from ""Unassigned"" back to your appropriate seat type

If your organization uses SCIM provisioning, your IT admin may need to add you back through your Identity Provider, and then an Admin/Owner would need to click ""Sync Now"" in the organization settings.

Only organization Admins and Owners have permission to manage member access and seat assignments.","team_and_enterprise","replied","product_issue","User requests access restoration but documentation shows only Admins/Owners can manage member access, requiring them to contact appropriate personnel."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.","Test Score Dispute","HackerRank","HackerRank does not review individual test scores or change results after completion. Test scores are final and cannot be modified by support staff.

If you believe there was a technical issue during your test (such as lost internet connection, browser problems, or platform malfunction), you should contact the company's recruiter directly to discuss your concerns.

For technical issues during future assessments, use a supported browser and run the System Compatibility Check at https://www.hackerrank.com/compatibility before starting your test.

Note: HackerRank support cannot intervene in hiring decisions or influence company recruiting processes.","community","replied","invalid","The evidence shows HackerRank does not provide official solutions or modify certification results, and hiring decisions remain with the company."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
","Help","Visa","For concerns involving a merchant, you can take action immediately by filling out this form: https://usa.visa.com/Forms/visa-rules.html

Visa does not directly process refunds or ban merchants - these actions are handled by your card issuer (bank). Contact your bank using the phone number on your Visa card to report the merchant issue and request a chargeback for the wrong product received.

Your bank is best equipped to investigate merchant disputes and process refunds according to their policies.","visa_rules","replied","product_issue","The evidence provides a form for reporting merchant concerns and clarifies that Visa doesn't directly handle refunds or merchant bans - these are issuer responsibilities."
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working","HackerRank","For refund requests related to mock interviews, please contact help@hackerrank.com. The support team will promptly review your request.

Regarding technical issues during mock interviews:
- Mock interviews end when the 60-minute timer expires, you click ""End Interview"", or the AI interviewer completes the session
- If you accidentally click ""Start Test"" and lose a credit, you don't lose access to the test - you can return and continue from where you left off at any time
- You can view your previous mock interviews by going to the Prepare tab, locating the relevant card under ""AI-powered Mock Interviews"", clicking ""Take Interview"", then ""View Previous Interviews""

Mock interview credits are valid for one year from purchase date, and each credit can only be used once.","skillup","replied","product_issue","Refund policy directs users to contact support, and technical guidance is available for mock interview issues."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
","Give me my money","HackerRank","I'll escalate this to our billing team to help resolve your payment issue with order ID cs_live_abcdefgh.","general_help","escalated","product_issue","Billing issue with specific order ID requires account-specific lookup that cannot be resolved with general documentation."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms","Using HackerRank for hiring","HackerRank","Escalate to a human","general_help","escalated","product_issue","This request requires enterprise onboarding and infosec process assistance which involves filling forms and requires human sales/procurement support."
"i can not able to see apply tab
","I need to practice, submissions not working","HackerRank","To access the Apply tab on HackerRank Community:

1. Log in to HackerRank Community using your credentials at https://www.hackerrank.com/auth/login
2. Look for the Apply tab in the main navigation
3. If you don't see it, note that the Home and Apply tabs are being deprecated, but Apply tab features remain accessible

If you still cannot see the Apply tab after logging in, this may be due to the ongoing deprecation. The Apply functionality for job searching and QuickApply features should still be available through other navigation paths on the site.","community","replied","product_issue","The evidence shows Apply tab setup instructions and mentions that Home and Apply tabs are being deprecated but features remain accessible."
"none of the submissions across any challenges are working on your website","Issue while taking the test","HackerRank","Escalate to a human","","escalated","bug","Platform-wide outage reported requiring immediate human investigation."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error","I am facing an blocker while doing compatible check","HackerRank","To resolve compatibility check issues with Zoom connectivity:

1. Open the HackerRank Compatibility link at https://www.hackerrank.com/compatibility
2. Review the results to confirm that all parameters are configured correctly

If you continue to encounter issues accessing the listed domains or compatibility problems after checking the compatibility page, contact support@hackerrank.com and include a screenshot of the error message.","interviews","replied","product_issue","The compatibility check process and troubleshooting steps are documented in the HackerRank support corpus."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.","","HackerRank","For rescheduling a HackerRank assessment, you need to contact the company that invited you directly, not HackerRank support.

The company's recruiting team manages test invitations and rescheduling. They can:
- Extend the test expiration date if needed
- Provide you with a new invitation if the original has expired
- Add time accommodations if you require them

Reach out to the recruiting contact provided in your original test invitation email, or contact the company's HR/recruiting department directly to request rescheduling due to your circumstances.","screen","replied","product_issue","Test rescheduling is handled by the hiring company, not HackerRank directly, as evidenced by the invitation templates showing company contact information for recruiting questions."
